                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78119,                 3.1688,                 1.2414,                0.00636,                0.92146,                0.17423,                0.12546,                0.72256,                 3.7889,                 1.2841,             0.00032456,             0.00032456,             0.00032456
                      2,                0.74512,                  2.499,                  1.202,                0.20395,                0.68837,                 0.2891,                0.21687,                0.85827,                 4.0381,                  1.456,             0.00064487,             0.00064487,             0.00064487
                      3,                0.77289,                  2.319,                 1.2159,                0.43844,                0.26643,                 0.2689,                0.15854,                 1.0738,                  4.505,                 1.7066,             0.00095198,             0.00095198,             0.00095198
                      4,                0.75814,                 2.1522,                 1.2107,                0.29855,                0.50895,                0.35048,                0.25236,                0.95794,                 2.9506,                 1.5223,              0.0009406,              0.0009406,              0.0009406
                      5,                0.75689,                 1.9932,                 1.1897,                0.44039,                0.34688,                0.34877,                0.22012,                 1.2326,                 2.6212,                 1.7048,              0.0009406,              0.0009406,              0.0009406
                      6,                0.75067,                 1.8514,                 1.1749,                0.33879,                0.48104,                0.39698,                0.24735,                 1.0071,                 2.8959,                 1.5107,              0.0009208,              0.0009208,              0.0009208
                      7,                0.71988,                 1.7275,                 1.1753,                0.55752,                0.55958,                0.59898,                0.46099,                0.81958,                 2.0224,                 1.3314,               0.000901,               0.000901,               0.000901
                      8,                 0.7589,                 1.6275,                 1.1794,                0.60822,                0.65113,                0.66476,                0.49437,                0.90065,                 1.9318,                 1.4027,              0.0008812,              0.0008812,              0.0008812
                      9,                0.71304,                 1.6206,                 1.1637,                0.57212,                0.52582,                0.58464,                0.44712,                0.84538,                 2.1369,                 1.3404,              0.0008614,              0.0008614,              0.0008614
                     10,                0.69363,                  1.409,                 1.1308,                0.68316,                0.60732,                 0.6932,                0.54675,                0.80975,                 1.8977,                 1.2974,              0.0008416,              0.0008416,              0.0008416
                     11,                0.69898,                 1.3837,                 1.1259,                0.58211,                0.68809,                0.75095,                0.57109,                0.83153,                  1.955,                 1.3823,              0.0008218,              0.0008218,              0.0008218
                     12,                0.64863,                 1.2742,                 1.0986,                 0.6727,                0.63164,                0.72879,                0.55802,                0.81352,                 1.7574,                 1.3162,               0.000802,               0.000802,               0.000802
                     13,                0.67046,                 1.2925,                 1.1332,                0.77963,                 0.6878,                 0.7764,                0.60271,                0.79485,                 1.5487,                  1.237,              0.0007822,              0.0007822,              0.0007822
                     14,                0.66157,                 1.2804,                 1.1136,                0.82596,                0.80759,                0.86534,                 0.6818,                 0.7797,                 1.3344,                 1.3192,              0.0007624,              0.0007624,              0.0007624
                     15,                0.66018,                 1.2116,                 1.0988,                0.89547,                0.67277,                0.82146,                0.63398,                0.75143,                  1.363,                 1.2409,              0.0007426,              0.0007426,              0.0007426
                     16,                 0.6272,                 1.1339,                 1.0832,                0.91243,                0.59437,                0.78922,                0.54501,                0.97248,                 1.7366,                  1.547,              0.0007228,              0.0007228,              0.0007228
                     17,                0.63323,                 1.1105,                 1.0983,                0.80424,                0.80451,                0.90549,                0.72356,                0.71419,                 1.1095,                 1.1989,               0.000703,               0.000703,               0.000703
                     18,                0.63195,                 1.0458,                 1.0991,                0.81564,                0.78912,                0.89396,                0.69412,                0.73748,                 1.1383,                 1.2205,              0.0006832,              0.0006832,              0.0006832
                     19,                0.61283,                  1.035,                 1.0967,                0.86298,                0.80292,                0.89222,                0.67179,                0.80357,                  1.288,                 1.2713,              0.0006634,              0.0006634,              0.0006634
                     20,                0.61154,                0.99234,                 1.0675,                0.90795,                0.82581,                0.92488,                0.74952,                0.70952,                 0.9602,                 1.2265,              0.0006436,              0.0006436,              0.0006436
