                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55867,                  3.386,                 1.1089,                0.54241,                 0.2038,                0.31818,                0.23738,                0.78131,                 3.7356,                 1.3831,               8.33e-05,               8.33e-05,               8.33e-05
                      2,                0.54968,                 3.0144,                 1.0659,                0.62855,                0.29021,                0.55395,                0.40411,                0.79804,                  3.375,                 1.3933,              0.0001732,              0.0001732,              0.0001732
                      3,                0.53632,                 2.6498,                 1.0507,                 0.5676,                0.54814,                0.61428,                0.43576,                0.88265,                 3.2542,                 1.4197,             0.00026128,             0.00026128,             0.00026128
                      4,                0.59487,                 2.2953,                 1.1461,                 0.3613,                0.60042,                 0.5315,                0.39228,                0.85666,                 3.2377,                  1.348,             0.00034755,             0.00034755,             0.00034755
                      5,                0.65656,                 2.0638,                 1.1164,                0.46223,                0.49516,                0.44966,                0.31219,                 1.1502,                 5.5721,                 1.7204,             0.00043201,             0.00043201,             0.00043201
                      6,                0.66344,                 1.8693,                 1.1503,                0.53534,                 0.6554,                  0.561,                0.40134,                 0.9611,                 4.6753,                 1.5503,             0.00051465,             0.00051465,             0.00051465
                      7,                0.74533,                 1.8224,                 1.1846,                0.45265,                0.61918,                0.52818,                0.41264,                0.87884,                 3.7973,                 1.4327,             0.00059548,             0.00059548,             0.00059548
                      8,                0.57918,                  1.986,                 1.0847,                0.39333,                0.48317,                0.45495,                0.34876,                0.92765,                 4.2236,                 1.5052,             0.00067449,             0.00067449,             0.00067449
                      9,                0.59702,                 1.8901,                 1.1009,                0.45195,                0.55757,                0.51776,                0.38148,                0.87795,                 4.2321,                 1.4185,             0.00075169,             0.00075169,             0.00075169
                     10,                0.63718,                 1.8931,                 1.0994,                0.61309,                0.50408,                0.57439,                0.44399,                 0.9281,                 3.5227,                 1.5973,             0.00075878,             0.00075878,             0.00075878
                     11,                0.71737,                 1.8149,                  1.259,                 0.5005,                 0.6281,                0.59899,                0.42511,                 1.1149,                 4.0741,                 1.9191,             0.00075878,             0.00075878,             0.00075878
                     12,                0.69822,                 1.7297,                 1.1656,                0.26003,                0.54182,                0.45636,                0.29865,                 1.1864,                 3.8547,                 1.8861,             0.00075053,             0.00075053,             0.00075053
                     13,                0.63912,                 1.6859,                 1.1156,                0.33751,                 0.5655,                0.41946,                0.27153,                0.94489,                 3.4819,                 1.5272,             0.00074229,             0.00074229,             0.00074229
                     14,                0.74429,                 1.7765,                   1.24,                0.68375,                0.52854,                 0.5878,                0.40376,                0.93886,                 3.2832,                 1.5112,             0.00073404,             0.00073404,             0.00073404
                     15,                0.63336,                 1.6671,                 1.1314,                0.56956,                 0.5169,                 0.5939,                 0.4005,                  1.044,                   3.05,                 1.5928,             0.00072579,             0.00072579,             0.00072579
                     16,                0.71707,                 1.9074,                 1.2835,                0.42882,                0.64997,                0.56715,                0.40947,                 1.0247,                 3.0728,                  1.567,             0.00071755,             0.00071755,             0.00071755
                     17,                0.57694,                  1.782,                 1.1188,                0.63518,                0.45792,                0.60535,                0.44761,                0.93014,                 2.6266,                   1.47,              0.0007093,              0.0007093,              0.0007093
                     18,                0.58942,                  1.741,                 1.1246,                0.58753,                0.49673,                0.57174,                0.37634,                 1.1602,                 2.9074,                 1.7038,             0.00070105,             0.00070105,             0.00070105
                     19,                 0.6147,                 1.6396,                 1.1004,                0.74787,                0.42042,                0.55748,                0.39958,                0.92966,                 2.8575,                  1.497,             0.00069281,             0.00069281,             0.00069281
                     20,                0.70342,                  1.855,                 1.1716,                0.69735,                0.49268,                0.53247,                 0.4117,                0.92663,                 3.1285,                 1.5293,             0.00068456,             0.00068456,             0.00068456
                     21,                0.61935,                 1.5326,                 1.1132,                0.54115,                0.58278,                0.52685,                0.40716,                0.94187,                 2.8908,                 1.5015,             0.00067631,             0.00067631,             0.00067631
                     22,                0.63367,                 1.4595,                 1.1146,                0.72382,                0.44742,                0.57517,                0.42439,                 0.9361,                 2.8093,                 1.5337,             0.00066807,             0.00066807,             0.00066807
                     23,                0.62359,                 1.3286,                 1.0937,                0.51902,                0.62509,                0.54769,                0.37423,                 1.0732,                 2.8767,                 1.6581,             0.00065982,             0.00065982,             0.00065982
                     24,                0.59494,                 1.3572,                 1.0748,                0.61652,                0.53631,                0.55009,                0.41421,                  0.915,                 2.9279,                 1.5138,             0.00065157,             0.00065157,             0.00065157
                     25,                0.58578,                 1.3943,                 1.0698,                0.60935,                0.60323,                0.55164,                0.42758,                0.93515,                 2.8274,                 1.5136,             0.00064333,             0.00064333,             0.00064333
                     26,                0.63357,                 1.3533,                 1.0991,                0.62934,                 0.4443,                0.52481,                0.42212,                0.94866,                 2.8154,                  1.578,             0.00063508,             0.00063508,             0.00063508
                     27,                0.70572,                 1.5787,                 1.2251,                0.69705,                0.48634,                0.52153,                0.40746,                0.96773,                 2.7898,                 1.5935,             0.00062683,             0.00062683,             0.00062683
                     28,                0.63177,                 1.2775,                 1.0687,                0.67738,                0.51375,                0.59736,                0.41308,                 1.0662,                 2.5849,                  1.682,             0.00061859,             0.00061859,             0.00061859
                     29,                 0.5524,                 1.2712,                 1.0496,                0.60437,                0.54881,                0.58902,                0.41926,                 1.0796,                 2.5532,                 1.7526,             0.00061034,             0.00061034,             0.00061034
                     30,                 0.7262,                 1.4231,                 1.2119,                0.62563,                0.56178,                0.59646,                0.44641,                0.99812,                 2.6033,                 1.5864,             0.00060209,             0.00060209,             0.00060209
                     31,                0.55966,                  1.334,                 1.0758,                0.71849,                 0.5627,                0.74224,                0.55963,                0.90885,                   2.19,                 1.4779,             0.00059385,             0.00059385,             0.00059385
                     32,                 0.5533,                 1.2749,                  1.039,                0.69895,                0.60836,                 0.6611,                0.51362,                0.93964,                 2.2887,                 1.5172,              0.0005856,              0.0005856,              0.0005856
                     33,                0.54003,                 1.1846,                 1.0712,                 0.7009,                 0.5243,                0.63614,                0.49558,                 1.0008,                 2.4196,                 1.5393,             0.00057735,             0.00057735,             0.00057735
                     34,                0.58463,                 1.3367,                 1.0655,                0.75828,                0.51903,                0.62649,                0.50048,                0.94625,                 2.5232,                 1.4846,             0.00056911,             0.00056911,             0.00056911
                     35,                0.59484,                 1.1974,                 1.0944,                0.77857,                0.49212,                0.64132,                0.51366,                0.90779,                  2.583,                 1.5087,             0.00056086,             0.00056086,             0.00056086
                     36,                0.54657,                   1.19,                 1.0471,                0.70341,                0.65711,                0.71878,                 0.5783,                0.92819,                 2.1558,                  1.548,             0.00055261,             0.00055261,             0.00055261
                     37,                0.62566,                 1.2813,                 1.1255,                0.82047,                 0.5298,                0.71073,                0.58623,                0.88489,                 2.2199,                 1.4811,             0.00054437,             0.00054437,             0.00054437
                     38,                0.53849,                 1.0809,                 1.0515,                  0.746,                0.58726,                0.69445,                0.56382,                0.91132,                 2.1528,                  1.488,             0.00053612,             0.00053612,             0.00053612
                     39,                0.52213,                 1.1733,                 1.0381,                0.80946,                0.60337,                 0.7136,                0.56752,                0.89801,                 2.1021,                 1.4425,             0.00052787,             0.00052787,             0.00052787
