                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0241,                  3.623,                 1.4363,                0.00635,                0.96154,                0.19556,                0.13849,                0.66753,                 4.1324,                 1.2569,               8.33e-05,               8.33e-05,               8.33e-05
                      2,                 0.7165,                 3.3504,                 1.2042,                0.00581,                0.96154,                0.18613,                0.13472,                0.66176,                 4.0577,                 1.2528,             0.00017147,             0.00017147,             0.00017147
                      3,                0.69677,                 3.0469,                 1.1952,                0.00527,                0.96154,                0.14614,                0.10733,                0.71781,                 3.9953,                 1.2942,               0.000256,               0.000256,               0.000256
                      4,                0.69482,                 2.9095,                 1.2263,                 0.0051,                0.97115,                0.21309,                0.17261,                 0.7396,                 3.8916,                 1.3382,             0.00033691,             0.00033691,             0.00033691
                      5,                0.70699,                 2.7094,                 1.1673,                 0.6725,                0.02592,                0.17219,                0.13127,                0.87509,                 3.7804,                 1.4459,             0.00041419,             0.00041419,             0.00041419
                      6,                0.77036,                  2.643,                 1.2362,                0.12405,                0.40694,                0.16307,                0.11481,                0.86123,                 3.4898,                  1.455,             0.00048785,             0.00048785,             0.00048785
                      7,                0.81254,                 2.6732,                 1.2883,                0.13954,                0.48608,                0.18304,                0.12647,                0.89139,                 3.4865,                 1.5108,             0.00055787,             0.00055787,             0.00055787
                      8,                0.68845,                 2.5943,                 1.1872,                0.13606,                 0.5401,                0.16193,                0.10784,                0.91846,                 3.7573,                 1.4814,             0.00062427,             0.00062427,             0.00062427
                      9,                0.73517,                 2.5048,                 1.2033,                0.25876,                0.34098,                0.20054,                0.13943,                0.88736,                 3.4361,                 1.4592,             0.00068703,             0.00068703,             0.00068703
                     10,                0.77847,                 2.4221,                 1.1968,                0.27533,                0.24196,                0.23414,                 0.1507,                 1.0008,                 3.3458,                 1.7524,             0.00068456,             0.00068456,             0.00068456
