                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48029,                 1.2771,                0.99504,                0.76248,                0.76037,                 0.8672,                 0.6745,                0.72361,                 1.2207,                 1.3043,                  7e-05,                  7e-05,                  7e-05
                      2,                0.49114,                 1.0789,                 1.0757,                0.80192,                0.71558,                0.86039,                0.64788,                0.63545,                 1.2563,                 1.2461,             0.00014851,             0.00014851,             0.00014851
                      3,                0.56284,                   1.06,                 1.0276,                 0.8071,                0.75234,                0.85912,                0.65285,                0.60679,                 1.3722,                 1.2292,             0.00022545,             0.00022545,             0.00022545
                      4,                0.54498,                 1.1195,                  1.035,                0.65786,                0.76436,                0.78956,                0.59273,                0.57147,                 1.3574,                 1.2242,             0.00030079,             0.00030079,             0.00030079
                      5,                0.51788,                 1.1753,                 1.0432,                0.66903,                0.67303,                0.73441,                0.57313,                0.58657,                 1.6693,                 1.1986,             0.00037456,             0.00037456,             0.00037456
                      6,                0.59399,                 1.2699,                 1.0897,                0.59721,                0.85226,                0.82594,                0.64966,                0.64966,                 1.6662,                   1.28,             0.00044674,             0.00044674,             0.00044674
                      7,                0.55955,                 1.2239,                 1.0658,                0.68573,                0.81056,                0.78052,                0.56865,                 0.5672,                 1.3968,                 1.2478,             0.00051733,             0.00051733,             0.00051733
                      8,                0.52372,                 1.1083,                 1.0507,                0.73207,                0.73427,                0.77168,                0.55907,                 0.7653,                 1.6049,                 1.3406,             0.00058634,             0.00058634,             0.00058634
                      9,                0.53672,                 1.3453,                 1.0501,                0.67188,                0.54306,                0.63948,                  0.504,                0.68121,                   1.85,                 1.2961,             0.00065377,             0.00065377,             0.00065377
                     10,                0.52899,                  1.005,                 1.0416,                0.64866,                0.61214,                0.71351,                0.52021,                0.67044,                  1.894,                 1.3379,             0.00071961,             0.00071961,             0.00071961
                     11,                0.57076,                 1.3328,                 1.0999,                0.59716,                 0.5864,                0.57182,                0.41484,                0.78766,                 2.3216,                 1.4654,             0.00078387,             0.00078387,             0.00078387
                     12,                0.57511,                 1.5524,                 1.1263,                0.51366,                0.43748,                0.47789,                0.34061,                0.83566,                 2.5485,                 1.4413,             0.00084654,             0.00084654,             0.00084654
                     13,                0.68839,                 1.2888,                 1.1791,                 0.5643,                0.42051,                0.43449,                0.24682,                 1.4113,                 2.9544,                 1.8072,              0.0008812,              0.0008812,              0.0008812
                     14,                0.81513,                  1.229,                 1.5187,                0.75053,                0.42765,                0.49236,                0.28669,                 1.1432,                 2.5833,                 1.7439,              0.0008812,              0.0008812,              0.0008812
                     15,                0.56461,                 1.1591,                 1.0673,                0.68004,                0.49715,                0.47629,                0.24995,                 1.4957,                 3.2893,                 2.2908,              0.0008713,              0.0008713,              0.0008713
                     16,                0.60463,                 1.0431,                 1.0871,                0.63373,                0.41825,                 0.4786,                0.23017,                 1.7293,                  3.199,                 2.9333,              0.0008614,              0.0008614,              0.0008614
                     17,                0.57712,                 1.0634,                 1.0269,                0.50638,                0.40867,                0.43029,                0.24712,                 1.1966,                 4.2903,                 1.8993,              0.0008515,              0.0008515,              0.0008515
                     18,                0.59739,                 1.1014,                 1.0707,                0.71309,                0.41081,                0.57913,                0.35378,                 1.0128,                 2.0727,                 1.5989,              0.0008416,              0.0008416,              0.0008416
                     19,                 0.6777,                 1.1033,                 1.1751,                0.72173,                0.56154,                0.62765,                0.38479,                    1.3,                 2.1414,                 1.7484,              0.0008317,              0.0008317,              0.0008317
                     20,                0.61076,                  1.323,                 1.0692,                 0.4947,                0.66704,                 0.6103,                0.36344,                 1.8291,                 2.7125,                 2.1103,              0.0008218,              0.0008218,              0.0008218
                     21,                0.56222,                 1.0034,                  1.078,                0.62724,                0.50428,                0.58251,                0.26295,                 1.5043,                  3.862,                 1.9763,              0.0008119,              0.0008119,              0.0008119
                     22,                0.54876,                 1.0353,                 1.1286,                0.67529,                0.58373,                0.60311,                0.32039,                 1.1712,                 3.6813,                 1.7044,               0.000802,               0.000802,               0.000802
                     23,                0.64724,                 1.1397,                 1.0808,                0.67253,                0.63406,                0.64716,                0.45635,                0.94816,                 2.8504,                 1.5259,              0.0007921,              0.0007921,              0.0007921
                     24,                0.53653,                 1.0961,                  1.044,                0.55642,                0.55993,                0.64106,                0.47873,                0.74183,                 2.2679,                 1.3494,              0.0007822,              0.0007822,              0.0007822
                     25,                0.61428,                0.97137,                 1.1022,                0.51585,                0.69035,                0.60737,                0.44378,                0.80999,                 1.7601,                 1.3639,              0.0007723,              0.0007723,              0.0007723
                     26,                0.54298,                 1.0649,                 1.0642,                0.60607,                0.74031,                0.72009,                0.49382,                0.75752,                 1.5424,                 1.3222,              0.0007624,              0.0007624,              0.0007624
                     27,                0.75097,                 1.2704,                 1.3519,                0.73365,                0.71821,                0.83668,                 0.6102,                0.73374,                  1.591,                 1.2568,              0.0007525,              0.0007525,              0.0007525
                     28,                0.74446,                 1.2418,                 1.2295,                0.78322,                0.70473,                0.81731,                0.60424,                0.72272,                 1.3444,                 1.2723,              0.0007426,              0.0007426,              0.0007426
                     29,                0.53627,                0.95813,                 1.0426,                0.75452,                0.75969,                 0.7934,                0.55768,                0.74798,                 1.2904,                 1.3413,              0.0007327,              0.0007327,              0.0007327
                     30,                0.60006,                 1.2407,                  1.096,                0.67484,                0.66482,                 0.7558,                0.55886,                 0.7441,                 1.4364,                 1.3425,              0.0007228,              0.0007228,              0.0007228
                     31,                0.72014,                 1.1987,                 1.4389,                0.72301,                 0.6722,                0.77196,                0.51709,                0.73773,                 1.3761,                 1.3407,              0.0007129,              0.0007129,              0.0007129
                     32,                0.53944,                0.96887,                 1.0691,                0.78572,                0.71419,                0.81218,                0.56247,                0.67413,                 1.3092,                 1.2938,               0.000703,               0.000703,               0.000703
                     33,                0.55225,                 1.1206,                 1.0587,                 0.8056,                0.58305,                0.80089,                0.57494,                  0.642,                 1.3927,                 1.2915,              0.0006931,              0.0006931,              0.0006931
                     34,                0.72817,                 1.3704,                 1.4315,                0.83155,                0.54698,                0.77218,                0.55385,                0.68743,                 1.3538,                 1.3558,              0.0006832,              0.0006832,              0.0006832
                     35,                 0.5393,                 1.1913,                 1.0797,                0.84583,                0.60585,                  0.813,                0.55662,                0.69166,                 1.2838,                 1.3568,              0.0006733,              0.0006733,              0.0006733
                     36,                0.59723,                 0.9862,                 1.2874,                0.81457,                0.69259,                0.80496,                0.53118,                0.69397,                 1.5887,                 1.3493,              0.0006634,              0.0006634,              0.0006634
                     37,                0.52077,                0.91597,                 1.0597,                0.88154,                0.72049,                0.83112,                0.52385,                0.75407,                  1.702,                 1.3941,              0.0006535,              0.0006535,              0.0006535
                     38,                 0.4894,                0.91595,                 1.0372,                0.72733,                0.68272,                0.68009,                0.51809,                0.77308,                   1.45,                 1.4066,              0.0006436,              0.0006436,              0.0006436
                     39,                0.49334,                0.85673,                 1.0381,                0.78651,                 0.6612,                0.69157,                0.51923,                0.78055,                 1.6001,                  1.364,              0.0006337,              0.0006337,              0.0006337
                     40,                0.49868,                 1.0467,                 1.0279,                0.79501,                0.66167,                0.76626,                 0.5568,                0.76435,                 1.6556,                 1.3871,              0.0006238,              0.0006238,              0.0006238
                     41,                0.49127,                0.89829,                 1.0427,                 0.8286,                0.67747,                0.76926,                0.54781,                 0.8425,                   1.56,                 1.4771,              0.0006139,              0.0006139,              0.0006139
                     42,                0.62038,                 1.0199,                 1.1048,                0.79723,                0.72808,                0.74295,                0.50127,                0.88196,                 1.3668,                 1.5784,               0.000604,               0.000604,               0.000604
                     43,                0.62988,                0.90489,                 1.0367,                0.91689,                0.65927,                0.75935,                0.52485,                0.93832,                 1.2513,                 1.6764,              0.0005941,              0.0005941,              0.0005941
                     44,                0.52666,                 1.1657,                 1.1229,                0.86999,                0.74565,                0.79709,                0.57712,                0.87512,                 1.0802,                  1.607,              0.0005842,              0.0005842,              0.0005842
                     45,                0.59674,                 1.2679,                 1.1514,                0.89742,                0.73428,                0.84597,                0.62452,                0.80557,                 1.0574,                 1.4967,              0.0005743,              0.0005743,              0.0005743
                     46,                0.53473,                0.91679,                 1.0519,                0.84041,                0.69689,                0.82142,                0.59734,                0.79859,                 1.1713,                 1.4392,              0.0005644,              0.0005644,              0.0005644
                     47,                0.47163,                0.93631,                 1.0583,                0.79325,                0.68461,                0.76429,                 0.5903,                 0.8431,                 1.2404,                 1.4524,              0.0005545,              0.0005545,              0.0005545
                     48,                0.49122,                0.82539,                 1.0285,                0.71897,                0.69701,                0.72449,                0.54549,                0.92869,                 1.2574,                 1.5465,              0.0005446,              0.0005446,              0.0005446
                     49,                0.50561,                0.76163,                0.99362,                0.71169,                0.67661,                0.76811,                0.57377,                0.95993,                 1.1634,                 1.5483,              0.0005347,              0.0005347,              0.0005347
                     50,                0.44231,                0.66111,                0.99319,                0.70001,                0.75893,                0.77274,                0.57796,                0.93452,                 1.1683,                 1.5406,              0.0005248,              0.0005248,              0.0005248
                     51,                 0.5562,                0.81829,                  1.089,                0.66101,                0.70189,                0.70767,                0.50549,                0.96324,                 1.1921,                 1.6104,              0.0005149,              0.0005149,              0.0005149
