                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39671,                0.94815,                0.95753,                0.70675,                0.76814,                0.84839,                0.66425,                0.71588,                 1.2073,                 1.3113,                  7e-05,                  7e-05,                  7e-05
                      2,                0.47465,                  1.075,                 1.0599,                0.80119,                0.83528,                0.88324,                0.67957,                0.66433,                 1.2304,                 1.2961,             0.00014851,             0.00014851,             0.00014851
                      3,                0.52284,                 1.0723,                 1.0097,                0.72954,                0.83604,                0.88215,                0.68635,                0.61505,                 1.8892,                 1.2651,             0.00022545,             0.00022545,             0.00022545
                      4,                0.49866,                 1.0534,                 1.0115,                0.66571,                0.80549,                0.80821,                0.61401,                0.58334,                 1.2953,                 1.2589,             0.00030079,             0.00030079,             0.00030079
                      5,                0.52349,                 1.1298,                 1.0452,                0.67506,                0.63906,                0.75906,                0.55612,                0.61245,                 1.4735,                 1.2491,             0.00037456,             0.00037456,             0.00037456
                      6,                0.59384,                 1.2762,                 1.0984,                0.63315,                0.62698,                0.73845,                0.54705,                0.60813,                 1.4925,                 1.2259,             0.00044674,             0.00044674,             0.00044674
                      7,                0.53956,                 1.2566,                 1.0447,                0.70306,                0.58091,                0.71694,                0.51438,                0.63743,                 1.4676,                 1.2833,             0.00051733,             0.00051733,             0.00051733
                      8,                0.53641,                 1.0786,                 1.0581,                0.72647,                0.65458,                0.75107,                0.52193,                 0.8352,                 1.5915,                 1.4038,             0.00058634,             0.00058634,             0.00058634
                      9,                0.51907,                  1.335,                 1.0588,                0.70477,                0.66877,                0.74101,                0.54316,                0.87415,                 1.8129,                 1.4567,             0.00065377,             0.00065377,             0.00065377
                     10,                0.50321,                 1.0117,                  1.031,                0.72299,                0.56408,                0.67869,                0.50289,                0.78548,                  2.192,                  1.457,             0.00071961,             0.00071961,             0.00071961
                     11,                 0.5865,                 1.2618,                 1.1054,                 0.6203,                0.57432,                0.60208,                0.42026,                0.76519,                 2.6444,                 1.3767,             0.00078387,             0.00078387,             0.00078387
                     12,                0.58653,                 1.7052,                 1.1162,                0.44815,                0.46608,                0.53359,                0.24283,                 1.3547,                 3.5212,                 1.9084,             0.00084654,             0.00084654,             0.00084654
                     13,                0.58562,                 1.3671,                 1.0838,                0.52133,                0.43504,                0.38038,                0.20099,                 1.3834,                 3.3377,                 1.9106,              0.0008812,              0.0008812,              0.0008812
                     14,                0.86123,                 1.2933,                 1.5375,                0.75356,                0.26878,                0.28262,                0.13859,                 2.0873,                  3.173,                 2.5264,              0.0008812,              0.0008812,              0.0008812
                     15,                0.60241,                 1.2409,                 1.0776,                0.52778,                0.35091,                0.30548,                0.11675,                 1.8587,                 3.8125,                 2.6591,              0.0008713,              0.0008713,              0.0008713
                     16,                0.61842,                 1.0885,                  1.097,                0.66627,                0.25604,                0.28735,                0.13289,                 2.1446,                 4.7805,                 3.1028,              0.0008614,              0.0008614,              0.0008614
                     17,                0.55237,                  1.091,                 1.0273,                0.45525,                0.52883,                0.47394,                0.27722,                 1.0078,                 3.5549,                 1.9135,              0.0008515,              0.0008515,              0.0008515
